T26,Population employed in research and development (R&D),,,,,
854,Burkina Faso,2014,R & D personnel: Total (number in full-time equivalent),"3,396",Break in the time series.;Head count instead of Full-time equivalent.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
854,Burkina Faso,2014,R & D personnel: Researchers - total (number in full-time equivalent),"1,555",Break in the time series.;Head count instead of Full-time equivalent.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
854,Burkina Faso,2014,R & D personnel: Researchers - women (number in full-time equivalent),237,Break in the time series.;Head count instead of Full-time equivalent.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
854,Burkina Faso,2014,R & D personnel: Technicians - total (number in full-time equivalent),528,Break in the time series.;Head count instead of Full-time equivalent.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
854,Burkina Faso,2014,R & D personnel: Other supporting staff - total (number in full-time equivalent),"1,313",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
854,Burkina Faso,2014,R & D personnel: Other supporting staff - women (number in full-time equivalent),460,Break in the time series.;Head count instead of Full-time equivalent.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
854,Burkina Faso,2017,R & D personnel: Total (number in full-time equivalent),"4,182",Head count instead of Full-time equivalent.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
854,Burkina Faso,2017,R & D personnel: Researchers - total (number in full-time equivalent),"2,050",Head count instead of Full-time equivalent.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
854,Burkina Faso,2017,R & D personnel: Researchers - women (number in full-time equivalent),349,Head count instead of Full-time equivalent.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
854,Burkina Faso,2017,R & D personnel: Technicians - total (number in full-time equivalent),407,Head count instead of Full-time equivalent.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
854,Burkina Faso,2017,R & D personnel: Other supporting staff - total (number in full-time equivalent),"1,725",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
854,Burkina Faso,2017,R & D personnel: Other supporting staff - women (number in full-time equivalent),602,Head count instead of Full-time equivalent.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
108,Burundi,2010,R & D personnel: Total (number in full-time equivalent),744,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
108,Burundi,2010,R & D personnel: Researchers - total (number in full-time equivalent),374,Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
108,Burundi,2010,R & D personnel: Researchers - women (number in full-time equivalent),56,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
108,Burundi,2010,R & D personnel: Technicians - total (number in full-time equivalent),117,Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
108,Burundi,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),253,Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
108,Burundi,2012,R & D personnel: Total (number in full-time equivalent),634,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
108,Burundi,2012,R & D personnel: Researchers - total (number in full-time equivalent),194,Partial data.;Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
108,Burundi,2012,R & D personnel: Researchers - women (number in full-time equivalent),30,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
108,Burundi,2012,R & D personnel: Technicians - total (number in full-time equivalent),197,Partial data.;Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
108,Burundi,2012,R & D personnel: Technicians - women (number in full-time equivalent),53,Partial data.;Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
108,Burundi,2012,R & D personnel: Other supporting staff - total (number in full-time equivalent),319,Partial data.;Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
108,Burundi,2012,R & D personnel: Other supporting staff - women (number in full-time equivalent),73,Break in the time series.;Partial data.;Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
108,Burundi,2018,R & D personnel: Total (number in full-time equivalent),377,Break in the time series.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
108,Burundi,2018,R & D personnel: Researchers - total (number in full-time equivalent),262,Break in the time series.;Partial data.;Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
108,Burundi,2018,R & D personnel: Researchers - women (number in full-time equivalent),38,Break in the time series.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
108,Burundi,2018,R & D personnel: Technicians - total (number in full-time equivalent),88,Break in the time series.;Partial data.;Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
108,Burundi,2018,R & D personnel: Technicians - women (number in full-time equivalent),31,Break in the time series.;Partial data.;Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
